director_name,no_of_fb_likes,total_profit,total_imdb_score
Jack Conway,6.0,0.0,7.1
Jane Campion,319.0,2.2174459348739495,6.633333333333333
Eldar Rapaport,0.0,0.0,6.1
Robert Adetuyi,8.0,0.0,4.5
J.J. Abrams,14000.0,1.587681567105263,7.449999999999999
Stephen Hillenburg,47.0,2.8472203,7.0
Ryan Fleck,31.0,3.8499614285714285,7.2
Jessy Terrero,29.0,0.8701381875,4.4
Léa Pool,4.0,0.010326666666666666,6.85
Christopher Guest,378.0,1.0721306041666667,7.175000000000001
Jeff Franklin,24.0,0.7,5.8
Daston Kalili,2.0,0.0,5.8
Nathan Frankowski,19.0,0.0,6.6
Blair Erickson,0.0,0.0,5.5
Charles Ferguson,117.0,0.2411482619047619,7.866666666666667
J.B. Rogers,6.0,2.528614493333333,5.65
Paul Gross,329.0,0.28265113333333336,6.25
Eddie O'Flaherty,3.0,0.025995,6.6
Remo,168.0,0.0,6.4
Dagur Kári,29.0,0.0052523684210526314,6.9
Eric Lartigau,7.0,0.0,7.4
Sergey Bondarchuk,27.0,0.0,7.3
David McNally,18.0,1.2315279222222224,5.0
Duke Johnson,26.0,0.4303525,7.3
Valentine,0.0,0.0,5.1
Antonio Simoncini,0.0,0.0,3.1
Angelo Pizzo,14.0,0.1123,7.0
Brendan Malloy,2.0,1.263932909090909,6.3
Ken Loach,644.0,0.0,7.5
Nick Hamm,6.0,0.5733858,4.8
Gregor Jordan,34.0,0.011791433333333334,6.0
Floria Sigismondi,50.0,0.3571735,6.6
Rob Schmidt,36.0,1.223632619047619,6.1
David Kellogg,16.0,1.2981342533333333,4.1
Sylvester Stallone,13000.0,2.10757588125,6.85
Chia-Liang Liu,32.0,5.7732715,7.6
Nickolas Perry,5.0,0.0,5.2
Mikael Håfström,101.0,1.4779095302948404,6.525
Don Mancini,64.0,1.4180158333333333,4.9
Neill Dela Llana,0.0,10.010142857142856,6.3
Kevin Bray,10.0,1.3195693125,5.95
Richard Schenkman,29.0,0.0,6.4
Maïwenn,236.0,0.0,7.3
James Fargo,109.0,0.07142857142857142,6.5
Ron Maxwell,33.0,0.3303149946428572,7.0
Jack Sholder,28.0,13.636363636363637,5.4
Jamie Blanks,9.0,2.378086692857143,5.1
Livingston Oden,0.0,0.0,6.8
Stuart Hazeldine,17.0,0.0,6.9
Paul Fierlinger,3.0,0.0,6.9
John Hoffman,9.0,2.2097782352941175,5.1
Richard Glatzer,25.0,3.97813875,7.3
Gary Shore,28.0,0.7991832857142858,6.3
Eli Roth,0.0,4.26723415,5.566666666666667
Molly Bernstein,0.0,0.302778,7.1
Hal Haberman,0.0,0.006387,6.9
Albert Hughes,117.0,2.740582502232143,7.0
Ice Cube,0.0,5.118086666666667,5.6
Darnell Martin,67.0,0.6778514166666667,7.0
Guillaume Canet,0.0,0.0044816517647058825,6.8
Michael Meredith,7.0,0.0019348,5.5
Stewart Hendler,10.0,0.7472629375,5.1
Dick Richards,6.0,0.1111111111111111,6.3
Marco Schnabel,12.0,0.5190125322580645,3.8
Rick de Oliveira,2.0,0.46412525,2.7
Douglas Aarniokoski,36.0,0.42670633333333335,4.6
Bill Melendez,36.0,0.0,8.4
Rob Pritts,5.0,2.179854727272727,4.6
Olatunde Osunsanmi,58.0,2.546448,5.9
Leon Ford,18.0,0.0,6.1
John Schlesinger,154.0,1.0855476266666668,6.233333333333334
Tony Gilroy,209.0,1.1807742244444446,6.733333333333333
Cal Brunker,7.0,1.425296175,5.9
Vincente Minnelli,136.0,0.798918918918919,7.1
Paolo Monico,3.0,0.0,5.1
Travis Cluff,3.0,227.57819,4.2
John Pasquin,11.0,2.7532426537125647,5.633333333333333
James Nunn,16.0,0.0,5.4
Roman Polanski,2000.0,0.3007860945391256,7.416666666666667
Jim Gillespie,13.0,2.1240998529411765,5.449999999999999
Mark Pellington,89.0,1.1170181656976745,6.85
Christine Jeffs,19.0,1.5068885,6.9
Andrea Arnold,121.0,0.0,7.3
Olivier Dahan,61.0,0.0,5.7
Sam Peckinpah,541.0,0.000978486842105263,7.375
